biome,site,value,disturbance,forestcover_50,forestcover_10,year,forest10,forest50,rate10,rate50,cluster,x,y
boreal,FARNEBOFJARDEN,4,178,53754300,63466200,2004,70518,59727,0.002524178223999546,0.0029802266981432185,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,5,19,53754300,63466200,2005,70518,59727,2.694347542471426e-4,3.1811408575686036e-4,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,6,14,53754300,63466200,2006,70518,59727,1.985308715505261e-4,2.3439985266294976e-4,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,7,100,53754300,63466200,2007,70518,59727,0.0014180776539323293,0.0016742846618782125,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,8,6,53754300,63466200,2008,70518,59727,8.508465923593976e-5,1.0045707971269275e-4,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,9,42,53754300,63466200,2009,70518,59727,5.955926146515784e-4,7.031995579888493e-4,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,10,6,53754300,63466200,2010,70518,59727,8.508465923593976e-5,1.0045707971269275e-4,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,11,13,53754300,63466200,2011,70518,59727,1.8435009501120283e-4,2.1765700604416764e-4,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,12,70,53754300,63466200,2012,70518,59727,9.926543577526306e-4,0.0011719992633147489,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,13,17,53754300,63466200,2013,70518,59727,2.41073201168496e-4,2.8462839251929613e-4,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,14,20,53754300,63466200,2014,70518,59727,2.8361553078646586e-4,3.348569323756425e-4,1,16.784154196297216,60.2012067962209
boreal,FULUFJALLET,1,6,66814200,106994700,2001,118883,74238,5.046978962509358e-5,8.082114281095935e-5,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,2,0,66814200,106994700,2002,118883,74238,0,0,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,3,2,66814200,106994700,2003,118883,74238,1.6823263208364526e-5,2.694038093698645e-5,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,4,14,66814200,106994700,2004,118883,74238,1.1776284245855168e-4,1.8858266655890515e-4,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,5,4,66814200,106994700,2005,118883,74238,3.364652641672905e-5,5.38807618739729e-5,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,6,4,66814200,106994700,2006,118883,74238,3.364652641672905e-5,5.38807618739729e-5,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,7,5,66814200,106994700,2007,118883,74238,4.2058158020911314e-5,6.735095234246613e-5,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,8,4,66814200,106994700,2008,118883,74238,3.364652641672905e-5,5.38807618739729e-5,1,12.739429569108696,61.54560240517525
