biome,site,value,disturbance_ha,closedforest_ha,year,cluster,x,y
boreal,GODBOUT,5,0.44999999999999996,20160,2005,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,6,0,20160,2006,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,7,1.44,20160,2007,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,8,0.54,20160,2008,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,9,0.09,20160,2009,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,10,0.63,20160,2010,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,11,0.09,20160,2011,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,12,7.83,20160,2012,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,13,2.07,20160,2013,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,14,8.73,20160,2014,2,-67.84602097188683,49.64752341291868
boreal,GRIDINO,1,0,1152,2001,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,2,0,1152,2002,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,3,0,1152,2003,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,4,0,1152,2004,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,5,0,1152,2005,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,6,0,1152,2006,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,7,0,1152,2007,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,8,0,1152,2008,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,9,0,1152,2009,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,10,0,1152,2010,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,11,0,1152,2011,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,12,0.44999999999999996,1152,2012,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,13,0,1152,2013,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,14,0.27,1152,2014,2,34.63680250634943,65.91443761097501
boreal,GUERNESE,1,0,167040,2001,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,2,0.09,167040,2002,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,3,0.09,167040,2003,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,4,0.18,167040,2004,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,5,0,167040,2005,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,6,0.72,167040,2006,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,7,0.36,167040,2007,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,8,6.93,167040,2008,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,9,29.34,167040,2009,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,10,29.34,167040,2010,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,11,1.17,167040,2011,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,12,3.42,167040,2012,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,13,5.31,167040,2013,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,14,0.54,167040,2014,2,-57.895799136789165,51.87080683037174
boreal,KIVACH,1,0,2160,2001,1,34.0181298039842,62.26525627915287
boreal,KIVACH,2,0,2160,2002,1,34.0181298039842,62.26525627915287
boreal,KIVACH,3,0,2160,2003,1,34.0181298039842,62.26525627915287
boreal,KIVACH,4,0.18,2160,2004,1,34.0181298039842,62.26525627915287
boreal,KIVACH,5,0,2160,2005,1,34.0181298039842,62.26525627915287
boreal,KIVACH,6,0,2160,2006,1,34.0181298039842,62.26525627915287
boreal,KIVACH,7,0,2160,2007,1,34.0181298039842,62.26525627915287
boreal,KIVACH,8,0.09,2160,2008,1,34.0181298039842,62.26525627915287
boreal,KIVACH,9,0.72,2160,2009,1,34.0181298039842,62.26525627915287
boreal,KIVACH,10,0.27,2160,2010,1,34.0181298039842,62.26525627915287
boreal,KIVACH,11,0,2160,2011,1,34.0181298039842,62.26525627915287
boreal,KIVACH,12,0.18,2160,2012,1,34.0181298039842,62.26525627915287
boreal,KIVACH,13,1.44,2160,2013,1,34.0181298039842,62.26525627915287
boreal,KIVACH,14,0,2160,2014,1,34.0181298039842,62.26525627915287
boreal,KLUANE,1,25.29,128016,2001,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,2,14.399999999999999,128016,2002,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,3,28.709999999999997,128016,2003,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,4,29.25,128016,2004,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,5,2.52,128016,2005,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,6,27.27,128016,2006,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,7,19.169999999999998,128016,2007,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,8,21.509999999999998,128016,2008,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,9,53.55,128016,2009,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,10,25.11,128016,2010,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,11,29.52,128016,2011,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,12,41.67,128016,2012,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,13,73.17,128016,2013,1,-139.20245547778103,60.63155201858082
boreal,KLUANE,14,24.84,128016,2014,1,-139.20245547778103,60.63155201858082
boreal,KOOTENAY,1,1061.9099999999999,87552,2001,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,2,1638.72,87552,2002,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,3,889.02,87552,2003,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,4,9688.68,87552,2004,3,-116.0313811570884,50.93531752049903
