biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,CENTRALFOR,10,0,0,2010,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,11,0,0,2011,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,12,0,0,2012,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,13,0,0,2013,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,14,0,0,2014,1,32.904219793807876,56.500150495467864
boreal,DENALI,1,0.27,136512,2001,3,-151.31823288945975,63.70496598029628
boreal,DENALI,2,1.26,136512,2002,3,-151.31823288945975,63.70496598029628
boreal,DENALI,3,0.09,136512,2003,3,-151.31823288945975,63.70496598029628
boreal,DENALI,4,12.059999999999999,136512,2004,3,-151.31823288945975,63.70496598029628
boreal,DENALI,5,10.53,136512,2005,3,-151.31823288945975,63.70496598029628
boreal,DENALI,6,1.08,136512,2006,3,-151.31823288945975,63.70496598029628
boreal,DENALI,7,2.88,136512,2007,3,-151.31823288945975,63.70496598029628
boreal,DENALI,8,8.28,136512,2008,3,-151.31823288945975,63.70496598029628
boreal,DENALI,9,89.36999999999999,136512,2009,3,-151.31823288945975,63.70496598029628
boreal,DENALI,10,536.22,136512,2010,3,-151.31823288945975,63.70496598029628
boreal,DENALI,11,11.79,136512,2011,3,-151.31823288945975,63.70496598029628
boreal,DENALI,12,214.38,136512,2012,3,-151.31823288945975,63.70496598029628
boreal,DENALI,13,2566.71,136512,2013,3,-151.31823288945975,63.70496598029628
boreal,DENALI,14,14.94,136512,2014,3,-151.31823288945975,63.70496598029628
boreal,DENEZHKIN,1,0.18,3312,2001,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,2,1.26,3312,2002,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,3,0,3312,2003,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,4,0,3312,2004,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,5,0,3312,2005,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,6,0,3312,2006,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,7,0,3312,2007,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,8,0.72,3312,2008,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,9,0,3312,2009,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,10,0,3312,2010,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,11,0,3312,2011,3,59.48809548666293,60.5089723572197
